"Wed: Jan 24","Lee 'scratch' Perry + Subatomic Sound System","dub","The  Ritz (San Jose)","7pm","$20","21+","","https://www.ticketfly.com/purchase/event/1608467?utm_medium=bks","https://www.facebook.com/events/152740685353661/","43124.7916666667"
"Wed: Jan 24","Housepitality: Baba Stiltz, Chvck, Ryury","deep house, tech house","F8 1192 Folsom (San Francisco)","9pm-2am","Free b4 10pm w/RSVP / $5 pre / $10","21+","Housepitality","http://www.residentadvisor.net/events/1055596","https://www.facebook.com/events/601369756861563/","43124.875"
"Wed: Jan 24","Kosmetik w/ Nonsuit,  Matthew Paul, Jordee","deep house, breaks","The Stud (San Francisco)","9pm-2am","Free before 10pm, $5 after","21+","Kosmetik","https://www.facebook.com/events/161348001260859/","","43124.875"
"Wed: Jan 24","Wormhole Wednesday: Champagne Drip, Spl (2010 Era Set) & More","dubstep, trap, glitch-hop, jungle, hip-hop, psydub, breakbeat, bass music","The New Parish (Oakland)","9pm-2am","Free b4 10pm w/RSVP / $5 pre/$10","21+","Wormhole","https://www.facebook.com/events/1880580158938544/","","43124.875"
"Wed: Jan 24","Amplify Ft. Joyzu, Harris P, Daeno + Irie Mike (Edm | 18+)","pop EDM, trap, dubstep, hardstyle, drum and bass ","715 Harrison St, San Francisco","9:30pm-2am","Free","18+","Amplify SF","https://www.eventbrite.com/e/amplify-ft-joyzu-harris-p-daeno-irie-mike-edm-18-tickets-42327402400","","43124.8958333333"
"Wed: Jan 24","Hood Politics Tour: SF w/ Chuwee, Iwata, Skyler Redondo, Paton","disco, house, techno","Monarch (San Francisco)","9:30pm-2am","$10 pre","21+","Iwata, Chuwee, Hood Politics Records, Monarch SF, Nutty","https://upallnight.us/events/hood-politics-tour-sf-w-chuwee-iwata-skyler-redondo-more/orders/new","https://www.facebook.com/events/179608349300827/","43124.8958333333"
"Thu: Jan 25","Adult Chemistry Nightlife Spotlight: The Selecter DJ Kirk (Sweater Funk), Mini Kurhan (Bangarang Crash) & Adam (Wake the Town)","various","The California Academy Of Sciences (San Francisco)","6pm-10pm","$12-15","21+","Nightlife At The California Academy Of Sciences","https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=nlvv&C=nlvtwo&utm_expid=12551229-62.fNY49TblQ9eB94Ww5WLsxA.1&utm_referrer=https%3A%2F%2Fwww.calacademy.org%2Fnightlife%2Fnightlife-spotlight-0","https://www.facebook.com/events/156908618371173/","43125.75"
"Thu: Jan 25","Open House: A House-Forward Party Feat. Symonne, femmelectric, Metallique, Monchis theDJ, AVN","house","111 Minna Gallery (San Francisco)","6pm-10pm","Free","21+","Symonne","http://www.residentadvisor.net/events/1063274","","43125.75"
"Thu: Jan 25","Deep House Yoga New Year's Party","deep house, yoga","The Public Works (San Francisco)","7pm-9pm","","21+","Deep House Yoga SF","https://www.facebook.com/events/137119730403254/","","43125.7916666667"
"Thu: Jan 25","Grooveshack w/Black & Omar Johnson","deep house","Au Lounge Oakland","8pm-12am","Free w/flyer $5","21+","Mellaique Black","https://www.facebook.com/events/1737031006328096/","","43125.8333333333"
"Thu: Jan 25","Control SF: Lunice","club music, hip-hop","DNA Lounge (San Francisco)","9pm","$15","18+","Control SF, Vital","http://ticketf.ly/2zxieyx","https://www.facebook.com/events/160289177922592/","43125.875"
"Thu: Jan 25","The Changing Same","hip-hop, future beats","The Continental Bar Lounge & Patio (San Jose)","9pm","","21+","The Changing Same, Universal Grammar","https://www.facebook.com/events/510340706032295/","","43125.875"
"Thu: Jan 25","Deepinthehatch w/Dopp Kit, KDMA, Moto Tembo","tech house, deep house","The Hatch (Oakland)","9pm-1:30am","Free","21+","Deep In The Hatch","https://www.facebook.com/events/164807480807197/","","43125.875"
"Thu: Jan 25","Arc, Local Dialect, Depic, Lilwang","house, techno, experimental","Public Works (San Francisco)","9pm-2am","$10","21+","Public Works","http://www.residentadvisor.net/events/1056470","","43125.875"
"Thu: Jan 25","Arc: lil wang, Pr3lude (Deric Cheng), Local Dialect, Arc","techno, house","The Public Works Loft (San Francisco)","9pm-2am","$10-15","21+","Arc","https://www.facebook.com/events/1683530515000553/","","43125.875"
"Thu: Jan 25","Coldcutz Music Club - Sup 2018","various","Iron & Gold (San Francisco)","9pm-2am","Free","21+","Coldcutz Music Club","https://www.facebook.com/events/139177923417788/","","43125.875"
"Thu: Jan 25","Lips & Rhythm Records Label Night 005 w/ BRINE, Seb Hall, Smokes, Birds Of Rhythm","funky house, deep house, tech house, nu-disco","Underground (San Francisco)","9pm-2am","","21+","Lips & Rhythm","https://www.facebook.com/events/334490920368685/","","43125.875"
"Thu: Jan 25","Lum || Ramona Wouters || Benjamin K","tech house, deep house","The Great Northern (San Francisco)","9:30pm","$0-15","21+","Alter Ego","http://www.ticketfly.com/purchase/event/1615374?utm_medium=946393","","43125.8958333333"
"Thu: Jan 25","Bay Area College Fest 2018 w/A1Massive, GGZ, Paulban","hip-hop, top 40, trap, future bass, pop EDM","Origin SF","10pm-2am","Free w/RSVP/$15","18+","Weske Entertainment","http://e.sparxo.com/jidamsfla","https://www.facebook.com/events/140582646583168/","43125.9166666667"
"Thu: Jan 25","Srsly?008 Ft Elexos Park, Adept, JTA, One A, EastCoastGhost","drum and bass, jungle, house, techno, leftfield","F8 1192 Folsom (San Francisco)","10pm-3am","$5","21+","Sequel Sound Recordings, Srsly.Club","https://www.facebook.com/events/2027149224205776/","","43125.9166666667"
"Thu: Jan 25","Trance Party Adventures with blurr, DJ S-Queen, Jonn Connor","trance","The Endup (San Francisco)","11pm-4am","","21+","","https://www.facebook.com/theendup/photos/a.494495978920.273608.118595078920/10156146947168921/?type=3&theater","","43125.9583333333"
"Fri: Jan 26","Make It Funky Fridays: Seb Hall, Brine, Don Dominic, Joe Fro","funky house, nu-disco","Monarch (San Francisco)","5:30pm-9:30pm","Free","21+","Make It Funky","https://www.facebook.com/events/332020360626063/","","43126.7291666667"
"Fri: Jan 26","The Paradox 2018 Tour: Excision, Cookie Monsta, Doctor P, Luzcid, Subtronics, Protohype, Dion Timmer, Monxx","dubstep, trap, electro house","Bill Graham Civic Auditorium (San Francisco)","7pm","$45","18+","","https://www.ticketmaster.com/event/1C005363E5ED7921?irgwc=1&clickid=xu2yOZSM3y9gRVhxgOUAxycbUkmUin2YEUR%3ATw0&camefrom=CFC_BUYAT_254533&impradid=254533&REFERRAL_ID=tmfeedbuyat254533&wt.mc_id=aff_BUYAT_254533&utm_source=254533-EDM%20Train%20LLC&impradname=EDM%20Train%20LLC&utm_medium=affiliate","","43126.7916666667"
"Fri: Jan 26","So Stoked Rave To The Grave II Ft. Kyau & Albert, Daniel Graves (Aesthetic Perfection), Original Sin, Switchblade, Angel & Rohan, DJ Tripp, Yama, KhronoBat, Daniel Graves (Aesthetic Perfection), Decay, Bit, Michael Vile","goth, industrial, synthpop, drum and bass, hardcore, techno, trance","DNA Lounge (San Francisco)","7:30pm-3:30am","$10-30","All ages","Death Guild, Kandi Love, Plur Alliance","https://www.dnalounge.com/calendar/2018/01-26.html","https://www.facebook.com/events/898913400273960/","43126.8125"
"Fri: Jan 26","Dystopia Drum & Bass 7-Year Anniversary: Dave Owen, Jaybee, Flaco, Athena","drum and bass, jungle","Lounge 3411 (Oakland)","8pm-2am","Free","21+","Dystopia Drum & Bass","https://www.facebook.com/events/1300459546766652/","","43126.8333333333"
"Fri: Jan 26","Funky Town 8","funky house, deep house, nu-disco","Midtown Barfly (Sacramento)","8pm-4am","$10-20","18+","Durty DJs","https://www.eventbrite.com/e/funky-town-8-tickets-41985976185","https://www.facebook.com/events/155755371854334/","43126.8333333333"
"Fri: Jan 26","Two Feet","R&B, synthpop","The Catalyst Club (Santa Cruz)","8:30pm","$12-15","16+","","https://www.catalystclub.com/event/1586315-two-feet-santa-cruz/","https://www.facebook.com/events/838400689672300/","43126.8541666667"
"Fri: Jan 26","Chris Clouse, Nimble + Tonytone","house","Hawthorn (San Francisco)","9pm-2am","Free w/RSVP b4 11pm/$10","21+","","https://www.facebook.com/events/148116572559712/","","43126.875"
"Fri: Jan 26","Re:Fresh Fridays w/Morillo, Rorschack, Yohm b2b Rhythmstar","bass music, trap, glitch, dubstep","Haven Underground (Nevada City)","9pm-2am","$11-16.50","","Euphonic Conceptions","https://www.theticketfairy.com/event/morillo-19jan2018/","https://www.facebook.com/events/982206871920747/","43126.875"
"Fri: Jan 26","Wrong Way Weekly w/ Detach (Dionysian Mysteries)","leftfield, house, techno","Driftwood (San Francisco)","9pm-2am","Free","21+","Wrong Way Weekly w/ Detach (Dionysian Mysteries)","https://www.facebook.com/events/1719680768092260/","","43126.875"
"Fri: Jan 26","Pablo Bolivar, Pablo S+nchez & Kuze","tech house, techno","Public Works Loft (San Francisco)","9:30pm","$15-20","21+","","http://ticketf.ly/2B9HosP","https://www.facebook.com/events/163332584281501/","43126.8958333333"
"Fri: Jan 26","Bassmint 2018: Residents","dubstep, bass music, trap","Bassmint (Chico)","9:30pm-1:45am","$5","21+","Bassmint Chico","https://www.facebook.com/events/710451265816570/","","43126.8958333333"
"Fri: Jan 26","Gigamesh","synthpop, hip-hop, house","Audio San Francisco","9:30pm-2:30am","","21+","Audio San Francisco, Allen French, Gigamesh","https://audiosf.com/event/gigamesh-01-26/","https://www.facebook.com/events/574907696184985/","43126.8958333333"
"Fri: Jan 26","Violator: A Tribute to Depeche Mode","goth, industrial, new wave","Cat Club (San Francisco)","9:30pm-2:30am","$5 b4 10/$8","21+","Dark Shadows","https://www.facebook.com/events/145817396081276/","","43126.8958333333"
"Fri: Jan 26","Electroluxx: Nick Monaco, superinto.it, Raid Zero, Merlin The Girl, Bradley P, Frowzy, Power Top Ramen, CastAway, Ethical Drugs, Jason Godfrey","electro house, disco, funk","Public Works (San Francisco)","9:30pm-3:30am","$15-30","21+","Electroluxx","http://bit.ly/electroluxxjan2018","https://www.facebook.com/events/150436335585863/","43126.8958333333"
"Fri: Jan 26","Holy Fxxx - Dance Floor Debauchery w/Shaun Slaughter, Adam Jay, Benjam","latin dance, disco, funk","Holy Diver (Sacramento)","10pm","Free w/RSVP","","Requiem Events","https://www.facebook.com/events/189917388260076/","","43126.9166666667"
"Fri: Jan 26","Numerous' Birthday - Jon Holiday, Rudeskool, Checkers","hip-hop","BRIX 581 (Oakland)","10pm-1am","","21+","Get With The Program","https://www.facebook.com/events/924417934393263/","","43126.9166666667"
"Fri: Jan 26","Back & 4th - Kev & Eric's Awesome Bday Bash","house","Wish Bar And Lounge (San Francisco)","10pm-2am","Free","21+","Jayvi Velasco, Kevin Donaldson, Yannis Lin","https://www.facebook.com/events/140663989958372/","","43126.9166666667"
"Fri: Jan 26","Outpost Residents Night: CM-4, Michael Claus, Teeyam, Woo","2-step garage, techno, house","Underground (San Francisco)","10pm-2am","Free w/RSVP b4 11pm/$5","21+","Outpost","https://www.facebook.com/events/274617699734139/","","43126.9166666667"
"Fri: Jan 26","Snow feat. Alahn Wright, DJ Stewie","pop EDM, top 40, hip-hop","Club X (San Francisco)","10pm-2am","Free w/RSVP b4 11:30pm, $5 b4 12am / $20","18+","Club X","https://www.facebook.com/events/1506371406067116/","","43126.9166666667"
"Fri: Jan 26","Swagger Like Us Presents Bbymutha, DavOmakesbeats, DJSpiider, DJ Val G","hip-hop, R&B, club music","Elbo Room (San Francisco)","10pm-2am","$10","21+","Elbo Room, Davomakesbeats, Bbymutha, Djspiider, Swagger Like Us","https://www.facebook.com/events/159835358077117/","","43126.9166666667"
"Fri: Jan 26","Valentino Khan","trap, dubstep, electro house","Pure Night Club (Sunnyvale)","10pm-2am","$10-20","21+","Valentino Khan","http://purenightclub408.com/event/valentino-khan-01-26-18/","https://www.facebook.com/events/176900869571648/","43126.9166666667"
"Fri: Jan 26","Lucas Med & Friends","hip-hop, house, pop EDM","Temple Nightclub (San Francisco)","10pm-3am","","21+","Temple SF","https://www.facebook.com/events/117404208978952/","","43126.9166666667"
"Fri: Jan 26","A Club Called Rhonda San Francisco: Acid Mondays, Tyree Cooper, Leonce, Kasha, Goddollars & Paradise","house, funk, disco","The Great Northern (San Francisco)","10pm-4am","$10","21+","Rhonda Intl","http://www.residentadvisor.net/events/1053905","https://www.facebook.com/events/526076301095063/","43126.9166666667"
"Fri: Jan 26","Direct To Earth: Cosmin TRG, Max Gardner, Lily Ackerman, Ian Comfort, Francisco Luongo, Chvck","techno, tech house","F8 1192 Folsom (San Francisco)","10pm-4am","","","Direct To Earth","https://www.residentadvisor.net/events/1043081","https://www.facebook.com/events/146150629363287/","43126.9166666667"
"Fri: Jan 26","Noir","tech house, techno","Halcyon (San Francisco)","10pm-4am","Free w/RSVP b4 11pm/$10-20","21+","","http://ticketf.ly/2zFiOKJ","https://www.facebook.com/events/373704169757095/","43126.9166666667"
"Fri: Jan 26","Zombie Disco Squad","tech house, funky house","Monarch (San Francisco)","10pm-4am","$10-20","21+","Laser Native","https://upallnight.us/events/lasernativezds","https://www.facebook.com/events/1667789746611412/","43126.9166666667"
"Fri: Jan 26","Kiss Kiss w/James Ando","disco, funk, house","The Dorian (San Francisco)","11pm-2am","Free w/RSVP","21+","Crossroads","https://www.eventbrite.com/e/kiss-kiss-a-night-of-disco-funk-house-the-dorian-tickets-42206570990?aff=efbeventtix","https://www.facebook.com/events/1120109651453305/","43126.9583333333"
"Sat: Jan 27","Late Night After Hours: DJ KnightOwl, FooF, Xpander Xperience / Intergalactic Afterhours w/Thee-O, Switchblade, Def Jeff, DJ Tyme","deep house, funky house, jackin house, electro house","The Endup (San Francisco)","2am-6am","","21+","Dv8 Events, XXF","http://www.residentadvisor.net/events/1053021","https://www.facebook.com/theendup/photos/a.494495978920.273608.118595078920/10156146979393921/?type=3&theater","43127.0833333333"
"Sat: Jan 27","Keep Going! // Ghenji & MDJ & Scott Hatfield","deep house, funky house, jackin house","The Cosmo Bar & Lounge (San Francisco)","6am-11am","$10+","21+","We Love Us","https://www.facebook.com/events/2050341818544521/","","43127.25"
"Sat: Jan 27","Space Monkeys On Planet Mars w/DJ Cue, MOSF3T, Noam Turgeman, Torie Richardson, Yaz","house, techno","Mars Bar (San Francisco)","3pm-9pm","Free","21+","","http://www.residentadvisor.net/events/1063114","","43127.625"
"Sat: Jan 27-Sun: Jan 28","The Program Day Party w/ Jon Holiday, Weapons, Drewmin, Skulltrane, Eklektik","hip-hop, dubstep, bass music","BRIX 581 (Oakland)","3pm-9pm","$10","21+","Get With The Program","https://www.facebook.com/events/372969306497455/","","43127.625"
"Sat: Jan 27","FUR the Love of Techno! feat. The Struggle DJs and Friends: Bobby Green, Anthony Zmoda, Skyeline, Chad Wellington b2b Ash, Geezle, Ricardo, Daddy Long Legs, MindCraft","house, techno","4113 Macdonald Ave, Richmond","4pm-12am","Free b4 6/$5","21+","Struggle ENT","https://www.facebook.com/events/172411680025078/","","43127.6666666667"
"Sat: Jan 27","The Paradox 2018 Tour: Excision, Cookie Monsta, Doctor P, Luzcid, Subtronics, Protohype, Dion Timmer, Monxx","dubstep, trap, electro house","Bill Graham Civic Auditorium (San Francisco)","7pm","$45","18+","","https://www.ticketmaster.com/event/1C005363E5F37925?irgwc=1&clickid=xu2yOZSM3y9gRVhxgOUAxycbUkmUilTcEUR%3ATw0&camefrom=CFC_BUYAT_254533&impradid=254533&REFERRAL_ID=tmfeedbuyat254533&wt.mc_id=aff_BUYAT_254533&utm_source=254533-EDM%20Train%20LLC&impradname=EDM%20Train%20LLC&utm_medium=affiliate","","43127.7916666667"
"Sat: Jan 27","Two Feet","R&B, synthpop","Cornerstone (Berkeley)","7:30pm","$15 pre / $17","All ages","DJ Dials & Cornerstone","http://www.ticketfly.com/purchase/event/1586319?utm_medium=946393","","43127.8125"
"Sat: Jan 27","Helic.Al Interval, Artefactos De Dolor, Vertical Silence, Claws","industrial, experimental, EBM, post-punk","RS94109 (San Francisco)","8pm-12am","$5","","RS94109","https://www.facebook.com/events/2094058297493482/","","43127.8333333333"
"Sat: Jan 27","Club Chai 2 Year Anniversary: Piano Rain (live), Namaste Shawty, FELA KUTCHii, TR4VI3ZA, lak, Davia Amerasu Spain, FOOZOOL, 8ULENTINA","club music, hip-hop, R&B, trap, juke, footwork","Alena Studios (Oakland)","8pm-2am","$10 pre/$15","","Club Chai ","https://www.eventbrite.com/e/club-chai-2-year-anniversary-tickets-41742712577?aff=es2","https://www.facebook.com/events/1570374913048944/","43127.8333333333"
"Sat: Jan 27","Stylust Beats w/MiHKAL","dubstep, trap","Hopmonk Tavern - Sebastopol","9pm","$15-20","","","http://ticketf.ly/2BnLY38","https://www.facebook.com/events/129565391051634/","43127.875"
"Sat: Jan 27","Pod Blotz , Piano Rain, Cloner","experimental, ambient, techno, electro","Pro Arts","9pm-11:30pm","$5","","Pro Arts","https://www.facebook.com/events/153719905278243/","","43127.875"
"Sat: Jan 27","Boy Harsher","darkwave, industrial","Elbo Room (San Francisco)","9pm-1am","$10","21+","Elbo Room","https://www.eventbrite.com/e/boy-harsher-in-sf-tickets-37978306136?aff=efbeventtix","https://www.facebook.com/events/122086395205044/","43127.875"
"Sat: Jan 27","A Night at Gatsby's w/DJ Nisa, Josh Levy","deep house, pop EDM","The Grand (San Francisco)","9pm-2am","$20 pre","21+","Henrik","https://www.eventbrite.com/e/a-night-at-gatsbys-tickets-40436357233?aff=fb","https://www.facebook.com/events/2039767529635770/","43127.875"
"Sat: Jan 27","Bones","bass house, garage, future house, deep house","Hawthorn (San Francisco)","9pm-2am","Free w/RSVP b4 11pm/$10","21+","Hawthorn","https://www.eventbrite.com/e/bones-sweat-it-out-gotta-dance-dirty-tickets-41612506126?aff=efbeventtix","https://www.facebook.com/events/194586661282508/","43127.875"
"Sat: Jan 27","Brits and Bass (Dirty 30 Edition): Krakinov, Masteck, TheBlaptist, Stony","glitch-hop, bass music, experimental","Britannia Arms (San Jose)","9pm-2am","","21+","","https://www.facebook.com/events/163017274337550/","","43127.875"
"Sat: Jan 27","Giving - A Community Benefit w/E'lish, Jonboy, Chris Martin","house","Driftwood (San Francisco)","9pm-2am","","21+","Project Open Hand","https://www.facebook.com/events/1542158255899581/","","43127.875"
"Sat: Jan 27","GusGus (DJ Set)","synthpop, techno, deep house","Mezzanine (San Francisco)","9pm-2am","$25-30","21+","Mezzanine","https://www.eventbrite.com/e/gusgus-dj-set-at-mezzanine-tickets-40041670715?aff=efbeventtix","https://www.facebook.com/events/1157843714348593/","43127.875"
"Sat: Jan 27","The Deep End w/ NDMC & Pantz, Dexter, Hafez House","tech house, funky house, deep house","Lounge 3411 (Oakland)","9pm-2am","Free","21+","Sinewave Syndicate","https://www.facebook.com/events/208691669691796/","","43127.875"
"Sat: Jan 27","Bootie SF: Winter Pool Party","mashups","DNA Lounge (San Francisco)","9pm-3:30am","$10 b4 10pm/$15 pre/$20","21+","Bootie SF","http://dnalounge.com/calendar/2018/01-27.html","https://www.facebook.com/events/168659620401454/","43127.875"
"Sat: Jan 27","Lady Alma, Cali, Cecil, heylove","house, club music, R&B, funk, soul","The New Parish (Oakland)","9pm-3am","$5 b4 10/$10","21+","ThePeople Oakland ","https://www.facebook.com/events/1677596428950716/","","43127.875"
"Sat: Jan 27","Blacked Out 2 : An Aquarius Bashment","TBA","Positive - I (Paradise)","9pm-5am","","","1200 Hustle","https://www.facebook.com/events/144749889625181/","","43127.875"
"Sat: Jan 27","WeloveUS Official Label Launch Party w/ Hector Couto w/Terry Mullan, Punkphunk, Beau Kelly","deep house, tech house","The Great Northern (San Francisco)","9:30pm","Free w/RSVP b4 11pm/$12-15","21+","","http://www.ticketfly.com/purchase/event/1623946?utm_medium=946393","https://www.facebook.com/events/1967953066859802/","43127.8958333333"
"Sat: Jan 27","Turbo Drive: Shredder 1984, Xenocircuit, Devon, Danny Delorean, Netik, Meikee Magnetic","synthwave","DNA Lounge (San Francisco)","9:30pm-1:30am","$11 pre, $13","18+","Dark Beauty Music, Turbo Drive","https://www.dnalounge.com/calendar/2018/01-27d.html","https://www.facebook.com/events/179733429285780/","43127.8958333333"
"Sat: Jan 27","Derrick Carter","deep house, Chicago house","Audio San Francisco","9:30pm-2:30am","$10","21+","Audio San Francisco","https://www.eventbrite.com/e/derrick-carter-tickets-40928252505?id=","https://www.facebook.com/events/525573961133422/","43127.8958333333"
"Sat: Jan 27","Symmetry 26 - Erik Love & Alexander East","deep house, tech house","Monarch Upstairs Lounge","9:30pm-2am","Free","21+","","http://ticketf.ly/2CZvYc9","https://www.facebook.com/events/210117959550698/","43127.8958333333"
"Sat: Jan 27","David Harness Friends in Harmony' Record Release Party","deep house","Halcyon (San Francisco)","10pm","$5-20","21+","","http://ticketf.ly/2BYHILn","https://www.facebook.com/events/1577953948951800/","43127.9166666667"
"Sat: Jan 27","Hoj w/Syd Gris, Golden Ratio","house","Monarch (San Francisco)","10pm","$12-15","21+","Opel","http://www.ticketfly.com/purchase/event/1615639?utm_medium=946393","https://www.facebook.com/events/2005802653027334/","43127.9166666667"
"Sat: Jan 27","Mnml:Fun w/ Carla Lyn and Victor Vega, Lt. Daaan, Peter Clarke, Zita Molnar","techno, tech house, minimal","Underground (San Francisco)","10pm-2am","Free w/RSVP b4 11pm/$5","21+","Mnmlfun","https://www.facebook.com/events/1322517761185911/","","43127.9166666667"
"Sat: Jan 27","Vision w/ George D & Dalen Poland","disco house, funky house","Wish (San Francisco)","10pm-2am","Free","21+","Wish Bar And Lounge","http://www.residentadvisor.net/events/1064316","","43127.9166666667"
"Sat: Jan 27","Zodiac Aquarius w/DJ Sequence","top 40, hip-hop, pop EDM","Pure Night Club (Sunnyvale)","10pm-2am","Free w/RSVP","21+","Pure Night Club","http://purenightclub408.com/event/zodiac-aquarius-01-27-18/","https://www.facebook.com/events/1989705661045754/","43127.9166666667"
"Sat: Jan 27","Savi","trap, pop EDM","Temple Nightclub (San Francisco)","10pm-3am","$20","21+","Temple Nightclub","https://www.eventbrite.com/e/savi-tickets-41399621382","","43127.9166666667"
"Sat: Jan 27","Temple Saturdays w/Savi, Loczi","trap, pop EDM","Temple Nightclub (San Francisco)","10pm-3am","$20","21+","Temple SF","https://www.facebook.com/events/199214133979186/","","43127.9166666667"
"Sat: Jan 27","Bridge Club: Orographic, Troubled Youth, Casual Aztec, Pocket Rock It, Hold My Hand","deep house, tech house, techno","The Stud (San Francisco)","10pm-4am","$5 b4 11/$10","21+","Bridge Club","http://www.residentadvisor.net/events/1058161","","43127.9166666667"
"Sat: Jan 27","Paul Oakenfold","progressive house, trance","1015 Folsom (San Francisco)","10pm-4am","$20-25","21+","1015 Folsom","https://www.eventbrite.com/e/paul-oakenfold-at-1015-folsom-tickets-41448837589?aff=efbeventtix","https://www.facebook.com/events/1033221610153994/","43127.9166666667"
"Sat: Jan 27","Polyglamorous - Kodemul, Perfect Lovers, major (1), Mark O'Brien, Beya","house, disco, funk","F8 1192 Folsom (San Francisco)","10pm-4am","$7 b4 11/$12","21+","Polyglamorous","http://www.residentadvisor.net/events/1053676","","43127.9166666667"
"Sat: Jan 27","Rhino Roar with Marten H+rger","breaks, bass music","Public Works (San Francisco)","10pm-4am","$10","21+","Dusty Rhino","https://www.eventbrite.com/e/rhino-roar-with-marten-hrger-tickets-42020203560","https://www.facebook.com/events/172191086880610/","43127.9166666667"
"Sat: Jan 27","Shangrila 11th Anniversary Party - Shawn P, Mohammad, Jim Z, Erik w/akay","house","The Endup (San Francisco)","10pm-6am","Free w/RSVP b4 11pm/$20-25","21+","Shangrila SF","https://180127.eventbrite.com/","https://www.facebook.com/events/305714396581940/","43127.9166666667"
"Sat: Jan 27","Captain Bhangra - Yacht Party","bhangra","Pier 40 (San Francisco)","10:30pm-1:30am","$40-185","","Wicked Events","https://www.eventbrite.com/e/captain-bhangra-yacht-party-tickets-41990812651","https://www.facebook.com/events/873768999450140/","43127.9375"
"Sun: Jan 28","Temptation Afterhours Loft - DJs Patrick Wilson & Jayvi Velasco","deep house, jackin house, funky house","TBA (San Francisco)","1:30am-6am","","","","https://www.facebook.com/events/1757738197867315/","","43128.0625"
"Sun: Jan 28","After Dawn w/Andrew Phelan and Jayvi Velasco","techno, tech house","Monroe SF (San Francisco)","6am-12pm","$10","21+","Prismatic","https://www.facebook.com/events/780659525460374/","","43128.25"
"Sun: Jan 28","Chad Clubb & Johnny Collective","house","Mars Bar (San Francisco)","2pm-7pm","","21+","Johnny Collective","https://www.facebook.com/events/156196698364975/","","43128.5833333333"
"Sun: Jan 28","Disco Donutz - Fluffy, Puffy & Furry Coat Party","house, techno, disco, drum and bass, funk, mashups","BRIX 581 (Oakland)","3pm-9pm","Free w/RSVP b4 5/$5","21+","Disco Donutz","https://discodonutz11.eventbrite.com/","https://www.facebook.com/events/318594395295776/","43128.625"
"Sun: Jan 28","Aftermath w/dAvi A, Cole, Charlotte the Baroness","house, breaks, hip-hop","SF Eagle (San Francisco)","7pm-11:55pm","","21+","","https://www.facebook.com/events/141004899918532/","","43128.7916666667"
"Sun: Jan 28","Two Feet w/Absofacto","R&B, synthpop","The Independent (San Francisco)","7:30pm","$15 pre/$18","21+","Dj Dials","http://www.ticketfly.com/purchase/event/1624392?utm_medium=946393","","43128.8125"
"Sun: Jan 28","Werd. | Olin, Beaner, Solar, C.L.A.W.S.","techno","Monarch (San Francisco)","9pm","$5","21+","Werd. A Beaner Birthday Bonanza!","https://www.ticketfly.com/purchase/event/1621347","https://www.facebook.com/events/1977221059207689/","43128.875"
"Sun: Jan 28","Stamina Sundays: Legion, Athena, Jamal vs. Adept","drum and bass, jungle","F8 1192 Folsom (San Francisco)","10pm-12am","Free","21+","Stamina DNB","https://www.facebook.com/events/1571622536208312/","","43128.9166666667"
